Timestamp,Fx,Fy,Fz,Force Magnitude,Filtered Force Magnitude,Z Position,Event,Force Slope,Offset Z Position
0.1,0.0956062030792237,-0.0814631843566893,0.0237856101989741,0.1278379901488413,0.13353797721539712,0.0,,,0.0022157268283807
0.13,0.0104621601104737,-0.0103686714172361,-0.0384845542907719,0.0412071238998206,0.13158094916926735,0.0,,,0.0022157268283807
0.16,-0.020545606613159,-0.0085357093811033,0.0244531822204585,0.0330596189701014,0.12967901167783175,0.0,,,0.0022157268283807
0.19,-0.0010982799530028,-0.0382855796813963,-0.0162372398376469,0.0416009589786219,0.1278328263956122,0.0,,,0.0022157268283807
0.22,-0.1645857143402098,0.0538031196594239,-0.0371475028991703,0.1770964991794228,0.12604203506254702,0.0,,,0.0022157268283807
0.25,0.055614824295044,0.0720812416076661,-0.0191268730163578,0.0930298411503279,0.12430525395768947,0.0,,,0.0022157268283807
0.29,0.0205215167999268,-0.0315307044982908,0.086729068756103,0.0945370263189459,0.12262008635740461,0.0,,,0.0022157268283807
0.32,-0.1021114635467528,0.0363194084167481,-0.0576581764221195,0.1227612142483392,0.12098315333052957,0.0,,,0.0022157268283807
0.35,-0.05883563041687,-0.0418561363220213,-0.035881500244141,0.0806290866507146,0.11939014279030075,0.0,,,0.0022157268283807
0.38,-0.0872083950042723,-0.0737927818298338,0.0265507888793941,0.1172843689479753,0.11783587647009562,0.0,,,0.0022157268283807
0.41,0.150402421951294,0.0108334159851075,-0.0204529571533207,0.1521728454325444,0.11631439426078814,0.0,,,0.0022157268283807
0.44,0.1636327457427979,0.0410935020446778,-0.0407981681823734,0.1735766168487574,0.11481905512887274,0.0,,,0.0022157268283807
0.47,-0.0132786083221434,-0.0424865150451658,-0.0165195274353031,0.0474796818264585,0.11334265370807362,0.0,,,0.0022157268283807
0.5,-0.0627104091644286,0.0136896705627442,0.065573234558105,0.091759749280928,0.1118775516964728,0.0,,,0.0022157268283807
0.53,-0.0814987468719481,0.0255056953430177,0.0257349205017085,0.089190091208934,0.11041582334165968,0.0,,,0.0022157268283807
0.56,0.0607875537872315,-0.0139869117736814,-0.0188488769531254,0.0651616494480793,0.10894941437221294,0.0,,,0.0022157268283807
0.59,0.0703605365753174,-0.0366900825500486,0.0234289360046382,0.0827386385372965,0.10747031359411456,0.0,,,0.0022157268283807
0.62,0.0274337482452393,-0.0414660835266111,-0.0795869636535648,0.0938409900278813,0.10597073604121915,-1.807559990962826e-06,1.0,,0.002213919268389737
0.66,-0.0215879726409911,0.0826746559143067,-0.0814585494995121,0.1180535242161862,0.1044433161603851,-1.807559990962826e-06,1.0,,0.002213919268389737
0.69,0.0188621234893799,0.0325829124450685,-0.0597190666198734,0.0705959829160307,0.10288130911732386,-1.807559990962826e-06,1.0,,0.002213919268389737
0.72,0.0380567264556885,0.0379196739196778,-0.121854286193848,0.1331716304717714,0.10127879799458277,-1.807559990962826e-06,1.0,,0.002213919268389737
0.75,-0.035916929244995,0.0291935539245606,-0.0588717269897465,0.0748877135175821,0.09963090445040555,-1.807559990962826e-06,1.0,,0.002213919268389737
0.77,-0.0102640438079832,0.1104504203796388,-0.059774379730225,0.1260064380476818,0.09793400030048915,-1.807559990962826e-06,1.0,,0.002213919268389737
0.81,-0.0424705791473387,0.0423771476745606,-0.0800456809997562,0.1000344130030093,0.09618591744155162,-1.807559990962826e-06,1.0,,0.002213919268389737
0.84,0.0047000598907471,-0.053308811187744,0.0248117637634273,0.0589876557788091,0.09438615354015745,-1.807559990962826e-06,1.0,,0.002213919268389737
0.87,0.0255788516998292,-0.0130113029479979,0.0233988952636714,0.0370280968758414,0.09253607094369945,-1.807559990962826e-06,1.0,,0.002213919268389737
0.9,-0.0646930980682372,0.0776287651062013,-0.0592994499206547,0.1171658946557084,0.09063908627240619,-1.807559990962826e-06,1.0,,0.002213919268389737
0.94,0.0052283954620362,0.0854021644592286,-0.0393767166137699,0.0941880651925164,0.08870084804042554,-1.807559990962826e-06,1.0,,0.002213919268389737
0.97,0.0260299396514893,0.0464951133728028,0.0019889068603511,0.0533226881946992,0.08672939942654387,-1.807559990962826e-06,1.0,,0.002213919268389737
1.0,-0.1100822734832762,0.048558864593506,0.0461363983154292,0.128858983060465,0.08473532307926193,-1.807559990962826e-06,1.0,,0.002213919268389737
1.03,0.0163863849639893,0.033940944671631,0.0027308654785151,0.0377883442830262,0.08273186469845728,-1.807559990962826e-06,1.0,,0.002213919268389737
1.06,0.0061477375030518,0.0521256065368653,-0.0601682472229008,0.0798441701511052,0.0807350320812492,-1.807559990962826e-06,1.0,,0.002213919268389737
1.09,0.0751327228546143,0.0015589332580567,-0.0389165687561039,0.0846277474602741,0.07876366628800474,-1.807559990962826e-06,1.0,,0.002213919268389737
1.12,0.0258983325958253,0.0182320213317872,-0.0184640693664555,0.036661315997329,0.07683948152712891,-1.807559990962826e-06,1.0,,0.002213919268389737
1.15,-0.0604215908050536,0.0431305503845216,0.1080084037780757,0.1310603994293201,0.0749870702610453,-8.663555777776999e-07,,,0.002214860472802922
1.18,-0.0291525173187254,-0.0416844749450682,-0.0585250663757328,0.0775412671533587,0.07323386992484944,-8.663555777776999e-07,,,0.002214860472802922
1.22,-0.0681930828094481,-0.0714305305480955,0.0267324638366694,0.1023095394389863,0.07161008758122708,-8.663555777776999e-07,,,0.002214860472802922
1.25,0.0505622577667237,0.0197826957702638,0.0016346168518062,0.0543191396715709,0.07014857887313128,-4.324212129896976e-05,,,0.00217248470708173
