Timestamp,Fx,Fy,Fz,Force Magnitude,Filtered Force Magnitude,Z Position,Event,Force Slope,Offset Z Position
13.15,5.430120191574097,-4.244699506759644,-1.6652353167533875,7.090605605855471,7.11886084576855,-0.0053295166271373,,2.2036509089182545,-0.0034642255645422
13.18,5.442816457748413,-4.344447283744812,-1.6646407008171082,7.160272470848546,7.1403040117959256,-0.0053664362945851,,2.2062675963477307,-0.00350114523199
13.21,5.619644365310669,-4.244941263198853,-1.689831054210663,7.242614038615542,7.1616545068321145,-0.0053664362945851,,2.2089813543896155,-0.00350114523199
13.24,5.484160623550415,-4.331440477371216,-1.6454389452934266,7.179475167210972,7.1829238208432535,-0.0053885881084438,,2.2117671073782574,-0.0035232970458486997
13.27,5.572504243850708,-4.4003693151474,-1.6676271319389344,7.293629679974424,7.204123911239327,-0.0053885881084438,,2.2146004442343856,-0.0035232970458486997
13.3,5.524098119735718,-4.364569811820984,-1.5634475111961366,7.211761074730093,7.225267012380674,-0.0054151663836209,,2.2174577540102707,-0.0035498753210257998
13.33,5.509986124038696,-4.196022539138794,-1.7525821089744569,7.14409520406588,7.246365440172074,-0.0054125229487762,,2.2203163479939625,-0.0035472318861811004
13.36,5.473684034347534,-4.407947807312012,-1.8525355219841004,7.26795078684981,7.267431395531626,-0.0054125229487762,,2.2231545672487605,-0.0035472318861811004
13.39,5.55471869468689,-4.288956909179688,-1.8579161524772645,7.259607673665301,7.288476770796356,-0.0054503449598158,,2.2259518747834495,-0.0035850538972207
13.42,5.616166315078735,-4.347983150482178,-1.754132068157196,7.315959326570878,7.309512963052511,-0.0054503449598158,,2.2286889318718464,-0.0035850538972207
13.46,5.58325644493103,-4.424523620605469,-1.7529890894889832,7.336356898831124,7.330550698032661,-0.0054778781173845,,2.231347658350841,-0.0036125870547894
13.47,5.585484704971313,-4.369212656021118,-1.8596039175987245,7.331151707157076,7.351599867836639,-0.0054778781173845,,2.233911277014156,-0.0036125870547894
13.52,5.684743127822876,-4.393754034042359,-1.715566194057465,7.386781864058646,7.372669385477332,-0.0055054692389448,,2.2363643424766813,-0.0036401781763497005
13.55,5.6080724811553955,-4.337425856590271,-1.6754160284996034,7.284968008431037,7.3937670591256195,-0.0055318410278449,,2.2386927551142692,-0.0036665499652498
13.58,5.693083963394165,-4.478896646499634,-1.6948526263237,7.439371318144956,7.414899488830059,-0.0055638369993342,,2.2408837608995738,-0.0036985459367391005
13.61,5.592717370986938,-4.479974536895752,-1.7155015826225282,7.368283729808032,7.436071988300015,-0.0055638369993342,,2.2429259381642885,-0.0036985459367391005
13.64,5.590419492721558,-4.3158904600143435,-1.8425851225852967,7.298960234267389,7.457288533994916,-0.0055593215010458,,2.2448091725184294,-0.0036940304384507003
13.67,5.510150632858276,-4.3486663389205935,-1.902318274974823,7.272652455834301,7.478551743230506,-0.0055593215010458,,2.246524621339126,-0.0036940304384507003
13.7,5.683578214645386,-4.4798690366745,-1.986723577976227,7.504622474384251,7.499862882215466,-0.0055942668384649,,2.248064669388455,-0.0037289757758697997
13.74,5.774317941665649,-4.520488648414612,-1.927870786190033,7.582496362025647,7.521221903744638,-0.0056315900347063,,2.2494228772025573,-0.0037662989721112
