Timestamp,Z Position
0.0890188217163086,0.0
1.0902378559112549,-4.204804041063603e-06
1.2026469707489014,-4.355677219014531e-06
1.2135820388793945,-4.355677219014531e-06
1.2636182308197021,-7.922565832041428e-06
1.3147518634796143,-7.605133535659725e-05
1.3648560047149658,-0.00014728863817409232
1.414867877960205,-0.0002322527241430672
1.4652447700500488,-0.00021819515664395217
1.5151684284210205,-0.0002367575545635936
1.565441370010376,-0.00023110926979530433
1.615553379058838,-0.00023398158801324342
1.6658902168273926,-0.00023334662137258766
1.7156870365142822,-0.00023184762971617534
1.765916347503662,-0.0002324053709766294
1.8158526420593262,-0.0002351301182803578
1.8660526275634766,-0.00023295097861619762
1.915900707244873,-0.00023492127873542268
1.9667716026306152,-0.0002332816722364628
2.018249750137329,-0.0002366463879088232
2.067312240600586,-0.00023588273009850225
2.116992712020874,-0.00024474573550914425
2.167433023452759,-0.0002517592378162292
2.217278480529785,-0.0002569619354607644
2.2676360607147217,-0.0002605929287331499
2.317427158355713,-0.0002659762608452354
2.3693463802337646,-0.0002796657034142003
2.4207069873809814,-0.0003029829101112713
2.469587802886963,-0.0003073263797900294
2.519876003265381,-0.00032697601369213736
2.5699303150177,-0.00032999599939798063
2.620060920715332,-0.00034216708627393677
2.6703062057495117,-0.0003603800815074054
2.7201919555664062,-0.00039692932379797874
2.7703235149383545,-0.00043844806688608795
2.8202767372131348,-0.00039887175511033046
2.8704285621643066,-0.0003762594762176108
2.9203498363494873,-0.0003916793452777845
2.9707460403442383,-0.00042349182184237
3.0207066535949707,-0.00042363974313835984
3.0711829662323,-0.00042936045116076516
3.1209020614624023,-0.0004911195699444648
3.1710681915283203,-0.000524554976413405
3.2210607528686523,-0.0005344862411654216
3.2712557315826416,-0.0005618033231166719
3.321227788925171,-0.0006043612733968584
3.371494770050049,-0.0006300374185197466
3.4216065406799316,-0.0006040026186467928
3.4715917110443115,-0.0005794308951841409
3.521678924560547,-0.0006428974962222056
3.572035312652588,-0.0006904382999559089
3.6223747730255127,-0.0007046052063469088
3.6721949577331543,-0.0007146551252277256
3.7231085300445557,-0.0007741495953043076
3.7723581790924072,-0.0008346993116536972
3.8225386142730713,-0.0008647981635391266
3.87268328666687,-0.0008620223616313538
3.9228246212005615,-0.0009042700518651081
3.9729368686676025,-0.0009253223843131431
4.022996425628662,-0.0009237392140734046
4.074181795120239,-0.001000949847161925
4.1242616176605225,-0.0010644997885485563
4.174263000488281,-0.0011301425889262973
4.224373817443848,-0.0011512952075173333
4.274654150009155,-0.001216589915508215
4.324995040893555,-0.001293362242922813
4.37470555305481,-0.0013730156633340873
4.424947738647461,-0.0013960360109693815
4.47529149055481,-0.0014547915761364272
4.525542259216309,-0.0015237013933288024
4.575404405593872,-0.0015978896250574692
4.625421524047852,-0.0015967792812966453
4.675533056259155,-0.0016613350927636161
4.725605726242065,-0.0016178659926844308
4.776310682296753,-0.00166419568796361
4.8259594440460205,-0.001681500753963061
4.875887632369995,-0.0016982171313719707
4.925947904586792,-0.0017306676509801222
4.976055383682251,-0.0017147920070797462
5.026111125946045,-0.0017415900919900973
5.076207160949707,-0.0017699778874760153
5.1262688636779785,-0.0017995982078566897
5.176364421844482,-0.0018151425811769872
5.226348161697388,-0.001851295813984799
5.27646017074585,-0.0018639090469387831
5.326557874679565,-0.0018477782965521383
5.377215623855591,-0.001891182547559933
5.4280383586883545,-0.0019205923101094369
5.477518081665039,-0.0019232461834983172
5.52770209312439,-0.001963525959290946
5.5778679847717285,-0.0019958221663670117
5.627875566482544,-0.0020090605840221154
5.677862882614136,-0.0020383432860164863
5.727976083755493,-0.0020189717163361376
5.778078556060791,-0.002056448888672513
5.828197002410889,-0.0020618793494410204
5.878211736679077,-0.0020992085732550736
5.928316593170166,-0.002116304298848848
5.978442668914795,-0.002123510367009751
6.028681993484497,-0.0021391861134035794
6.0794477462768555,-0.002151945257950816
6.128841876983643,-0.00214287641116484
6.17879843711853,-0.0021955016384304082
6.228973388671875,-0.002217226110430792
6.278997898101807,-0.002240280216895374
6.329116582870483,-0.00225928060250824
6.379163503646851,-0.0022931337868124513
6.429052829742432,-0.0022914469750199284
6.47948694229126,-0.0023071545579831376
6.529546022415161,-0.0023209886777534883
6.579622983932495,-0.0023518239629874427
6.629758596420288,-0.002374013204311909
6.679584264755249,-0.0023822179362779083
6.730534315109253,-0.0024220143428235197
6.779774904251099,-0.002405070618885674
6.829987525939941,-0.002409616157890815
6.8801891803741455,-0.0024674975878558603
6.930494070053101,-0.0024874497838924814
6.980353355407715,-0.002511347250183815
7.03055214881897,-0.0025346250808034876
7.081104040145874,-0.002557620470682198
7.131254434585571,-0.0025806990329303447
7.181152105331421,-0.002592961022535145
7.231081485748291,-0.0026155294381079996
7.281340837478638,-0.002611913091908058
7.331679105758667,-0.0026358733382869093
7.382067918777466,-0.002660636222247159
7.431944370269775,-0.0026978040631127076
7.482053279876709,-0.002705336663220481
7.532146692276001,-0.0027127290085866007
7.582173109054565,-0.002740073358213413
7.632448196411133,-0.002764553007803927
7.682488203048706,-0.0027837569646190774
7.733037710189819,-0.0028262936357954516
7.784419775009155,-0.002851627585133354
7.83318305015564,-0.0028524733672368185
7.8830060958862305,-0.0029006066534774666
7.933318376541138,-0.002881854164662856
7.9834394454956055,-0.0029228238170659893
8.034908771514893,-0.0029439172813668923
8.083564758300781,-0.002979908543894072
8.133676290512085,-0.0030004269847371257
8.183738708496094,-0.0030322414710328705
8.233948707580566,-0.0030640367377680056
8.284034490585327,-0.0030726406530022232
8.33413314819336,-0.0030385781695704828
