Fx,Fy,Fz,F_magnitude,Tx,Ty,Tz,T_magnitude
-0.17150238990783695,0.007171828746795672,0.031112546920775586,0.1744491199392263,7.91822373867046e-05,0.004059269577264796,-0.0001724964380264149,0.004063704510512161
0.03358002662658688,0.08161206960678102,0.06811606407165449,0.11148069912930263,0.0019682471454143535,0.00017227187752724693,-0.00022548496723173717,0.0019885969666239593
0.13878842353820797,0.005157907009124774,0.06737124443054121,0.15436228518992426,6.623312830925099e-05,-0.0032237325608730216,0.00010952293872834584,0.003226272419592966
0.002854547500610316,0.007488448619842547,-0.013651971817017383,0.01583040235300099,0.00041320666670799366,0.0006972695887088876,-0.0006044960021972523,0.0010111083252662165
0.08798237800598141,-0.07919005632400511,-0.03476536750793535,0.12337177407392791,-0.0014598096907138813,-0.0027087335288524528,0.00023449897766114614,0.0030859798174900205
-0.028334417343139684,-0.13630990266799925,-0.03167927742004473,0.14278237072338726,-0.0034957851469516743,-0.00025372251868246987,-0.00019149541854857066,0.003510207886359383
-0.21728114128112797,-0.017784874439239484,0.03179728507995527,0.22031446492163184,-0.00030881419777870067,0.004775270372629176,-0.0007264918088912831,0.004840078892832824
-0.16075543403625492,-0.00786284685134886,0.010122175216674023,0.1612655957230479,0.0006402705609798442,0.003949269205331812,0.0005545014142990246,0.004039077303778578
-0.0899217510223389,-0.0022960114479064764,-0.011032228469849414,0.09062506849930312,-0.0009077663719654072,0.002082272917032252,0.00018250882625581166,0.0022788615049490206
0.08171673774719235,0.006105859279632586,0.06835066795349043,0.1067085777024246,9.421750903129689e-05,-0.0023357276618480582,0.00042352020740510365,0.0023756830629127956
0.19469758033752438,-0.1771810460090637,0.006663198471068554,0.2633337598334432,-0.004003780633211135,-0.004082724899053564,-0.00023348689079283336,0.0057230602031081755
0.019843301773071254,0.06800695180892946,-0.03528988838195879,0.07914593066993612,0.0015172187983989727,-0.0005977307260036369,0.00024551093578339955,0.0016490938489404712
-0.03341082572937015,-0.02776173830032347,0.09155070304870527,0.10133374866295139,-0.0005657549202442158,0.00048227563500405357,0.0003865057229995861,0.0008378872787019355
-0.20206240653991703,0.06580277204513552,0.009786481857299023,0.21273221705390563,0.00180425986647606,0.004579275399446497,2.502799034131975e-06,0.00492190238767035
-0.1592553043365479,-0.08746222734451292,-0.030409936904908008,0.1842190474243916,-0.002056780010461806,0.00285027876496316,-0.00039447903633116344,0.003536954446913325
0.004395685195922816,-0.049501936435699445,-0.011917238235474414,0.051105619322993595,-0.00163679078221321,0.0013192589581012826,-8.048176765440562e-05,0.002103807400451237
-0.07461527824401859,-0.033029835224151594,0.00882327079772871,0.08207472126018445,-0.00042480483651161083,0.0015372629463672738,-0.0003214931488036976,0.0016269586227452635
0.02299853324890133,0.08404131650924684,-0.05659115791320879,0.10389626829759556,0.0019812409579753887,-0.00027772828936575844,-0.0004344886541366444,0.00204724916091001
0.08863039970397946,-0.003830235004425031,-0.09796345710754473,0.13216223885943382,0.00037623688578605763,-0.0016147349774837394,0.00011449992656709096,0.0016619366639313523
-0.02359417915344242,0.016134936809539813,-0.05465043067932207,0.06167407112561945,0.00031323477625846974,8.02721083164315e-05,0.00020849645137788198,0.00038474719838931643
-0.012249746322631871,-0.02964166879653929,-0.012000207901001758,0.0342445587455851,-0.0020337577164173115,-0.0008937273919582267,0.00014951765537263295,0.0022264937973171047
