Timestamp,Z Position,Event
41.8618643283844,-0.023907681860876273,
41.911877155303955,-0.023951238890189908,
41.96198773384094,-0.023994347873626587,
42.01210141181946,-0.024032829003237555,
42.06223177909851,-0.024065048270247247,
42.112669467926025,-0.024099926245585435,
42.1625337600708,-0.024150711650799794,
42.212658166885376,-0.024195967537348984,
42.2628493309021,-0.024233695375584008,
42.312939405441284,-0.02427630987020951,
42.36303973197937,-0.02431984762906597,
42.41324496269226,-0.02433856640120957,
42.463279724121094,-0.02434672496889745,
42.51347303390503,-0.024388454268380877,
42.56362342834473,-0.024419784020877522,
42.6137580871582,-0.024445682371312727,
42.66389203071594,-0.02449182590523441,
42.714056730270386,-0.024525771873430413,
42.76419162750244,-0.024561434264531057,
42.81435823440552,-0.024599573982531764,
42.86441612243652,-0.02461006852382419,
42.91481018066406,-0.024639300999890645,
42.9648802280426,-0.02467616950854723,
43.014997720718384,-0.024722941434211332,
43.06511569023132,-0.024760569083059625,
43.116416215896606,-0.024806721568540024,
43.167412996292114,-0.024844132663467744,
43.21673512458801,-0.024880859281978918,
43.26683807373047,-0.02489633312906908,
43.316818952560425,-0.024931692264199057,
43.36697793006897,-0.024977104215425816,
43.41710615158081,-0.025020130393229423,
43.46719479560852,-0.02505767651990798,
43.519002199172974,-0.025090961170428194,
43.570152759552,-0.025138965541742997,
43.6192307472229,-0.02515553026882611,
43.6694016456604,-0.025161996270069764,
43.71951484680176,-0.02519751789324637,
43.769601583480835,-0.025240602064006967,
43.81975269317627,-0.025274207942575733,
43.86992835998535,-0.02531405609877946,
43.91983509063721,-0.02534425238385385,
43.97011089324951,-0.025380050088816664,
44.020272970199585,-0.0253912738585933,
44.07031559944153,-0.025408221847688206,
44.12056064605713,-0.025435974434379782,
44.17069625854492,-0.025476573514746748,
44.222034215927124,-0.025505799745212443,
44.27098369598389,-0.02553414005597543,
44.32099199295044,-0.025566429893225218,
44.37113428115845,-0.025595839861299485,
44.42130446434021,-0.025602413804047264,
44.47130370140076,-0.0256064823390173,
44.52133226394653,-0.02563327968375645,
44.57139801979065,-0.02565303360242749,
44.621676445007324,-0.025665384036058725,
44.67167901992798,-0.025699950725509846,
44.72174644470215,-0.025723602195687534,
44.7718505859375,-0.02572895073563658,
44.82208466529846,-0.025739931804946548,
44.87270474433899,-0.025761708738199662,
44.92219924926758,-0.025766974404613785,
44.97246217727661,-0.025759289253225848,
45.02252745628357,-0.02575567352778202,
45.072543144226074,-0.025764838723861316,
45.12278938293457,-0.02578190204160996,
45.17288112640381,-0.02579599676422145,
45.22390961647034,-0.02580800712949244,
45.2741117477417,-0.025826911804653407,
45.32401180267334,-0.02583321575928027,
45.374096632003784,-0.025827549017797158,
45.42438364028931,-0.025823950499896497,
45.47443675994873,-0.025807236167747605,
45.5246217250824,-0.025794769839344978,
45.57485222816467,-0.025802798261019555,
45.624948501586914,-0.02581275347643114,
45.67519235610962,-0.02582283236724181,
45.725223541259766,-0.025825729875822434,
45.77542757987976,-0.025836828982571225,
45.8255136013031,-0.0258328696428326,
45.87570405006409,-0.025837709766920403,
45.92699980735779,-0.025845240282919124,
45.976096630096436,-0.02584964250108618,
46.026196241378784,-0.025851010829442467,
46.076491355895996,-0.025853998709439163,
46.126598834991455,-0.0258600935238833,
46.17678952217102,-0.02586392239227603,
46.226789236068726,-0.02586363735781505,
46.27687335014343,-0.025866654622617224,
46.327022075653076,-0.02586812317832704,
46.37701082229614,-0.025874676353229042,
46.427263021469116,-0.025873734989824315,
46.477444648742676,-0.025875544129847328,
46.52755093574524,-0.02588108077604595,
46.57777643203735,-0.025880907945855403,
46.627768754959106,-0.025881367197917948,
46.67807197570801,-0.025886541862095436,
46.727991819381714,-0.025888703144975045,
46.77983236312866,-0.025892880199210655,
46.82823467254639,-0.02589197967146767,
46.87874746322632,-0.025897864138565485,
46.92999720573425,-0.02589491484971962,
46.97847318649292,-0.025900008799739138,
